Time (mS),Barometer Temp (C),IMU Temp (C),Pressure (hPA),Altitude (M),Gryo X (mDPS),Gryo Y (mDPS),Gryo Z (mDPS),Accel X (mG),Accel Y (mG),Accel Z (mG),
-3965,27.8,29.4,1025.34,0.06,-721,848,875,1005,10,12,
-3945,27.8,29.5,1025.34,0.05,-1023,1242,883,1003,9,20,
-3925,27.8,29.5,1025.34,0.04,-866,1347,971,1003,5,24,
-3905,27.8,29.5,1025.34,0.04,-345,1347,927,1002,3,26,
-3885,27.8,29.5,1025.34,0.02,74,1220,918,1002,7,29,
-3865,27.8,29.5,1025.35,-0.01,-459,1137,721,1003,-2,21,
-3845,27.8,29.6,1025.35,-0.01,-406,1264,498,1005,0,16,
-3826,27.8,29.5,1025.35,-0.01,-153,1544,371,1005,6,13,
-3805,27.8,29.6,1025.35,-0.00,507,1885,472,1005,7,13,
-3785,27.8,29.5,1025.34,0.03,446,2366,376,1001,-2,33,
-3764,27.8,29.5,1025.34,0.05,157,2165,87,1000,1,43,
-3745,27.8,29.5,1025.34,0.03,258,1666,-61,1000,7,48,
-3726,27.8,29.5,1025.34,0.05,297,1028,0,1001,8,44,
-3706,27.8,29.5,1025.34,0.07,-113,616,-70,1002,8,34,
-3686,27.8,29.5,1025.34,0.03,-660,485,-100,1004,10,25,
-3666,27.8,29.5,1025.34,0.04,-783,573,-52,1005,13,19,
-3646,27.8,29.5,1025.34,0.04,-507,813,135,1004,15,22,
-3626,27.8,29.5,1025.34,0.07,-380,936,367,1003,11,29,
-3606,27.8,29.5,1025.34,0.07,-638,866,385,1001,5,32,
-3586,27.8,29.5,1025.34,0.04,-608,665,266,1002,4,36,
-3567,27.8,29.5,1025.34,0.08,-126,275,236,1002,8,32,
-3546,27.8,29.5,1025.34,0.06,415,126,328,1003,11,23,
-3527,27.8,29.5,1025.34,0.07,621,214,476,1005,15,15,
-3507,27.8,29.5,1025.34,0.05,205,525,603,1006,14,6,
-3487,27.8,29.5,1025.34,0.04,-218,1089,739,1006,13,9,
-3467,27.8,29.6,1025.34,0.07,-411,1566,901,1004,14,17,
-3447,27.8,29.5,1025.33,0.11,-503,1793,1023,1002,6,24,
-3427,27.8,29.5,1025.33,0.12,-380,1785,980,1001,-1,30,
-3407,27.8,29.5,1025.34,0.08,-266,1592,726,1000,-5,32,
-3387,27.8,29.5,1025.33,0.10,100,1413,446,1002,-2,27,
-3367,27.8,29.5,1025.34,0.10,612,1356,258,1003,2,23,
-3347,27.8,29.5,1025.34,0.08,691,1465,157,1004,6,19,
-3328,27.8,29.5,1025.33,0.12,507,1728,83,1004,5,19,
-3306,27.8,29.5,1025.33,0.14,0,1929,100,1001,5,36,
-3286,27.8,29.5,1025.33,0.10,-166,1671,21,1000,6,45,
-3267,27.8,29.5,1025.33,0.11,-420,1124,-30,1000,7,45,
-3248,27.8,29.5,1025.34,0.08,-765,621,-126,1001,3,38,
-3228,27.8,29.4,1025.34,0.09,-665,341,-227,1002,6,30,
-3208,27.8,29.5,1025.34,0.08,-363,205,-183,1004,12,21,
-3188,27.8,29.6,1025.34,0.05,-83,450,-74,1005,15,15,
-3168,27.8,29.5,1025.34,0.08,8,774,135,1004,17,18,
-3148,27.8,29.6,1025.34,0.09,-161,1001,371,1003,14,24,
-3128,27.8,29.5,1025.34,0.06,-17,1054,542,1003,10,30,
-3108,27.8,29.4,1025.34,0.03,196,879,595,1001,11,33,
-3088,27.8,29.5,1025.35,-0.02,179,647,700,1002,12,29,
-3068,27.8,29.5,1025.35,-0.02,-83,573,730,1004,12,22,
-3048,27.8,29.4,1025.34,0.04,-284,695,822,1005,12,14,
-3029,27.8,29.5,1025.34,0.05,-310,1019,980,1006,8,9,
-3009,27.8,29.5,1025.34,0.09,48,1526,1067,1005,6,11,
-2989,27.8,29.6,1025.34,0.08,236,1903,1015,1004,3,18,
-2969,27.8,29.6,1025.34,0.06,249,2117,918,1003,1,28,
-2949,27.8,29.5,1025.34,0.05,126,2021,713,1001,0,37,
-2929,27.8,29.5,1025.35,0.00,144,1662,503,1000,-2,37,
-2909,27.8,29.4,1025.34,0.05,227,1343,240,1001,-1,34,
-2889,27.8,29.5,1025.34,0.08,236,1115,43,1002,4,29,
-2869,27.8,29.5,1025.34,0.08,78,1115,-8,1004,8,23,
-2849,27.8,29.5,1025.34,0.04,-433,1408,83,1003,8,28,
-2828,27.8,29.5,1025.34,0.03,-621,1369,65,1003,3,34,
-2809,27.8,29.5,1025.34,0.04,-551,1172,-78,1001,2,39,
-2789,27.8,29.4,1025.34,0.02,-433,748,-183,1000,5,39,
-2770,27.8,29.5,1025.34,0.04,-341,424,-245,1001,7,33,
-2750,27.8,29.5,1025.35,-0.01,-153,231,-196,1003,15,26,
-2730,27.8,29.5,1025.34,0.04,-35,223,30,1004,17,19,
-2710,27.8,29.5,1025.34,0.06,-83,490,297,1006,17,15,
-2690,27.8,29.5,1025.34,0.03,-271,848,503,1005,15,16,
-2670,27.8,29.5,1025.34,0.05,-371,1093,704,1003,12,21,
-2650,27.8,29.6,1025.35,0.01,-249,1246,756,1002,8,27,
-2630,27.8,29.5,1025.34,0.04,74,1207,835,1002,8,29,
-2610,27.8,29.6,1025.34,0.05,175,1054,853,1003,7,26,
-2590,27.8,29.6,1025.34,0.05,205,1036,791,1004,7,22,
-2571,27.8,29.5,1025.34,0.06,236,1159,761,1003,7,17,
-2550,27.8,29.5,1025.34,0.05,266,1443,756,1004,5,15,
-2531,27.8,29.6,1025.34,0.06,371,1745,756,1004,6,20,
-2511,27.8,29.6,1025.34,0.04,301,1925,743,1003,4,26,
-2491,27.8,29.5,1025.34,0.08,91,1955,621,1001,0,32,
-2471,27.8,29.5,1025.33,0.10,35,1723,411,1001,-1,37,
-2451,27.8,29.6,1025.33,0.13,21,1408,161,1000,0,38,
-2431,27.8,29.5,1025.33,0.16,-13,1120,-52,1001,1,34,
-2411,27.8,29.5,1025.33,0.15,-91,966,-161,1003,6,29,
-2391,27.8,29.6,1025.33,0.14,-210,945,-179,1004,8,25,
-2370,27.8,29.5,1025.33,0.13,-231,1111,-131,1003,9,28,
-2350,27.8,29.7,1025.33,0.16,-240,1041,-70,1002,9,32,
-2331,27.8,29.5,1025.32,0.19,-192,888,-70,1002,11,35,
-2312,27.8,29.5,1025.33,0.18,-126,612,61,1001,13,33,
-2292,27.8,29.5,1025.33,0.11,-183,420,161,1003,12,28,
-2272,27.8,29.5,1025.34,0.10,-236,376,297,1003,13,22,
-2252,27.8,29.6,1025.34,0.07,-297,560,450,1005,12,16,
-2232,27.8,29.5,1025.34,0.04,-188,844,551,1004,11,15,
-2212,27.8,29.5,1025.35,0.01,83,1141,717,1004,13,18,
-2192,27.8,29.5,1025.35,-0.01,179,1373,870,1003,12,23,
-2172,27.8,29.6,1025.34,0.02,161,1439,980,1003,10,27,
-2152,27.8,29.5,1025.33,0.10,-21,1391,1015,1002,6,29,
-2132,27.8,29.6,1025.33,0.12,-135,1303,940,1003,2,26,
-2112,27.8,29.5,1025.34,0.10,43,1273,813,1003,0,24,
-2092,27.8,29.5,1025.33,0.11,310,1365,669,1004,2,22,
-2073,27.8,29.5,1025.34,0.08,490,1500,564,1003,4,23,
-2052,27.8,29.5,1025.34,0.06,520,1605,490,1003,5,24,
-2033,27.8,29.5,1025.34,0.07,376,1653,437,1002,4,29,
-2013,27.8,29.5,1025.34,0.09,118,1618,336,1001,3,34,
-1993,27.8,29.6,1025.33,0.10,-258,1408,183,1001,1,37,
-1973,27.8,29.5,1025.33,0.12,-503,1085,0,1000,1,38,
-1953,27.8,29.6,1025.33,0.15,-428,813,-148,1001,4,33,
-1933,27.8,29.6,1025.33,0.12,-310,630,-205,1003,7,29,
-1912,27.8,29.5,1025.33,0.12,-262,743,-122,1004,11,21,
-1892,27.8,29.5,1025.33,0.13,-350,927,-21,1004,13,24,
-1872,27.8,29.6,1025.33,0.11,-402,1015,96,1003,10,28,
-1853,27.8,29.5,1025.34,0.07,-258,953,179,1002,10,31,
-1834,27.8,29.5,1025.34,0.08,-17,813,284,1002,11,30,
-1813,27.8,29.6,1025.34,0.08,87,700,402,1003,12,27,
-1793,27.8,29.5,1025.33,0.13,13,678,481,1003,14,21,
-1774,27.8,29.6,1025.33,0.15,-131,853,643,1005,15,16,
-1754,27.8,29.6,1025.34,0.09,-148,1168,835,1005,12,15,
-1734,27.8,29.5,1025.33,0.10,0,1465,975,1004,7,18,
-1714,27.8,29.5,1025.33,0.10,122,1671,980,1003,5,25,
-1694,27.8,29.6,1025.34,0.07,262,1688,953,1003,4,30,
-1674,27.8,29.5,1025.34,0.09,323,1583,831,1001,4,33,
-1654,27.8,29.6,1025.34,0.09,201,1421,752,1001,3,33,
-1634,27.8,29.5,1025.34,0.09,13,1216,630,1003,2,30,
-1614,27.8,29.5,1025.34,0.07,-131,1150,511,1003,1,27,
-1594,27.8,29.6,1025.34,0.01,-192,1198,376,1003,0,24,
-1574,27.8,29.6,1025.34,0.07,-109,1321,231,1003,2,24,
-1554,27.8,29.6,1025.34,0.09,-8,1404,126,1001,4,29,
-1535,27.8,29.6,1025.34,0.08,-74,1347,48,1002,4,34,
-1515,27.8,29.5,1025.34,0.06,-262,1176,-78,1001,4,36,
-1495,27.8,29.5,1025.34,0.07,-411,888,-179,1001,5,36,
-1475,27.8,29.5,1025.33,0.11,-411,616,-258,1002,7,31,
-1455,27.8,29.6,1025.34,0.07,-288,533,-231,1003,11,25,
-1434,27.8,29.6,1025.34,0.03,-266,783,52,1005,17,18,
-1414,27.8,29.5,1025.34,0.04,-420,1019,249,1004,15,20,
-1395,27.8,29.6,1025.34,0.07,-468,1194,398,1004,11,23,
-1375,27.8,29.6,1025.34,0.07,-332,1238,494,1003,8,27,
-1355,27.8,29.6,1025.33,0.13,-43,1203,529,1002,7,29,
-1336,27.8,29.5,1025.34,0.05,227,1071,546,1003,8,27,
-1315,27.8,29.6,1025.34,0.05,393,1041,603,1004,12,23,
-1296,27.9,29.6,1025.34,0.09,402,1120,735,1005,13,20,
-1276,27.9,29.6,1025.34,0.07,280,1321,870,1004,13,19,
-1256,27.9,29.5,1025.34,0.06,78,1522,988,1004,9,22,
-1236,27.9,29.5,1025.34,0.09,-140,1666,1019,1003,5,27,
-1216,27.9,29.5,1025.34,0.08,-179,1623,958,1001,0,32,
-1196,27.9,29.6,1025.34,0.08,-78,1478,774,1001,-3,36,
-1176,27.9,29.5,1025.34,0.07,70,1176,498,1000,-2,34,
-1156,27.9,29.5,1025.34,0.10,166,984,236,1002,0,31,
-1137,27.9,29.6,1025.33,0.11,135,888,100,1002,5,27,
-1116,27.9,29.6,1025.34,0.09,0,918,39,1003,8,24,
-1097,27.9,29.5,1025.34,0.05,-218,1050,39,1003,9,25,
-1077,27.9,29.6,1025.34,0.06,-498,1124,78,1002,7,29,
-1057,27.9,29.5,1025.34,0.02,-700,1080,35,1002,4,32,
-1037,27.9,29.6,1025.34,0.02,-713,931,-65,1001,1,33,
-1017,27.9,29.7,1025.34,0.03,-525,721,-175,1003,4,30,
-997,27.9,29.6,1025.34,0.02,-78,630,-223,1003,8,25,
-976,27.9,29.6,1025.34,0.02,240,822,35,1005,17,18,
-957,27.9,29.6,1025.35,0.01,26,1098,280,1004,18,19,
-936,27.9,29.5,1025.34,0.02,-236,1325,511,1004,16,23,
-917,27.9,29.6,1025.34,0.02,-341,1413,691,1002,11,26,
-897,27.9,29.5,1025.35,-0.00,-196,1369,805,1002,6,30,
-878,27.9,29.5,1025.35,-0.03,21,1233,800,1002,5,30,
-858,27.9,29.5,1025.35,-0.04,214,1137,721,1003,5,26,
-838,27.9,29.6,1025.35,-0.03,345,1163,713,1003,8,23,
-818,27.9,29.6,1025.35,-0.03,406,1233,739,1004,9,21,
-798,27.9,29.6,1025.35,-0.03,354,1435,818,1004,9,23,
-778,27.9,29.6,1025.35,-0.03,113,1540,826,1002,5,28,
-758,27.9,29.5,1025.35,0.01,-48,1491,752,1002,1,33,
-738,27.9,29.5,1025.34,0.03,-91,1330,608,1002,0,35,
-718,27.9,29.5,1025.35,0.00,-74,1054,406,1001,0,36,
-698,27.9,29.5,1025.35,0.00,-192,813,192,1001,1,31,
-679,27.9,29.6,1025.34,0.03,-280,717,39,1003,3,28,
-658,27.9,29.5,1025.34,0.03,-306,743,-56,1004,6,23,
-639,27.9,29.6,1025.34,0.03,-345,879,-74,1004,7,22,
-619,27.9,29.6,1025.35,0.00,-345,1006,-56,1003,8,25,
-599,27.9,29.6,1025.34,0.02,-389,1067,-39,1002,9,28,
-579,27.9,29.5,1025.35,0.00,-385,1054,-30,1002,9,30,
-559,27.9,29.7,1025.34,0.04,-367,923,8,1002,9,31,
-539,27.9,29.7,1025.34,0.05,-363,783,74,1003,11,27,
-519,27.9,29.6,1025.34,0.04,-323,761,161,1004,11,23,
-499,27.9,29.6,1025.34,0.07,-113,1058,420,1005,13,18,
-478,27.9,29.5,1025.34,0.06,39,1295,573,1004,11,22,
-458,27.9,29.6,1025.34,0.07,122,1430,656,1003,10,25,
-440,27.9,29.5,1025.34,0.08,192,1452,752,1002,13,29,
-420,27.9,29.5,1025.34,0.02,91,1400,875,1003,13,30,
-400,27.9,29.6,1025.34,0.02,-183,1286,988,1002,9,32,
-380,27.9,29.6,1025.34,0.05,-472,1137,993,1002,4,30,
-360,27.9,29.6,1025.34,0.04,-638,1067,853,1003,-1,27,
-340,27.9,29.5,1025.34,0.05,-520,1036,647,1003,-2,25,
-320,27.9,29.6,1025.34,0.01,-210,1115,459,1003,0,23,
-300,27.9,29.6,1025.34,0.05,183,1238,385,1002,3,24,
-280,27.9,29.7,1025.34,0.07,275,1290,341,1002,5,28,
-260,27.9,29.6,1025.34,0.07,-87,1260,280,1002,6,32,
-241,27.9,29.6,1025.34,0.03,-586,1133,188,1001,4,35,
-221,27.9,29.6,1025.34,0.02,-726,905,96,1002,1,33,
-201,27.9,29.6,1025.34,0.02,-595,700,-56,1002,1,29,
-181,27.9,29.6,1025.34,0.03,-1089,638,-271,976,10,35,
-161,27.9,29.6,1025.34,0.02,-16283,223,-3815,964,-2,19,
-141,27.9,29.6,1025.34,0.01,-10486,468,-1588,968,22,28,
-121,27.9,29.6,1025.35,-0.02,-5766,1076,-656,1011,35,66,
-101,27.9,29.6,1025.35,-0.04,-6151,-713,-713,1005,22,-12,
-81,27.9,29.6,1025.35,-0.05,-3075,678,586,1022,31,-16,
-61,27.9,29.6,1025.35,-0.02,-6111,2485,971,990,14,51,
-42,27.9,29.6,1025.35,-0.00,-9751,1036,17,1009,34,14,
-21,27.9,29.6,1025.35,0.00,-27615,2375,-1176,1193,55,83,
68,27.9,29.5,1025.34,0.06,-27155,-13234,-577,1998,94,443,
78,27.9,29.6,1025.34,0.04,-32353,-12263,1885,1998,82,726,
98,27.9,29.7,1025.33,0.11,-57334,-24570,-140,1998,87,262,
118,27.9,29.6,1025.33,0.14,-86231,-10145,-7188,1998,213,115,
190,27.9,29.6,1025.29,0.51,140262,-23594,54884,1998,106,1036,
208,27.9,29.6,1025.27,0.63,143342,-43859,52626,1998,172,894,
228,27.9,29.6,1025.25,0.85,143342,-53186,55400,1998,147,815,
247,27.9,29.6,1025.21,1.13,143342,-59325,55461,1998,178,780,
313,27.9,29.7,1025.11,2.06,143342,-65323,50671,1998,247,754,
323,27.9,29.7,1025.06,2.45,143342,-62733,47337,1998,309,743,
342,27.9,29.6,1025.01,2.85,143342,-60029,45810,1998,357,752,
361,27.9,29.7,1024.96,3.34,143342,-57461,44563,1998,474,732,
380,27.9,29.7,1024.90,3.87,143342,-53655,40350,1998,521,717,
400,27.9,29.7,1024.83,4.43,143342,-50505,31976,1998,576,679,
419,27.9,29.5,1024.76,5.07,143342,-48667,22728,1998,595,595,
438,27.9,29.8,1024.66,5.88,143342,-49949,13978,1998,680,577,
457,27.9,29.7,1024.56,6.70,143342,-54066,6448,1998,739,496,
478,27.9,29.6,1024.49,7.35,143342,-60256,-691,1998,722,457,
497,27.9,29.7,1024.41,7.99,143342,-71036,-8981,1998,696,384,
516,27.9,29.6,1024.34,8.64,143342,-84726,-10858,1998,662,323,
536,27.9,29.6,1024.26,9.34,143342,-101530,-5158,1998,718,327,
556,27.9,29.9,1024.19,9.91,143342,-118816,2891,1998,692,323,
576,27.9,29.7,1024.12,10.53,143342,-134728,13094,1998,744,359,
596,27.9,29.7,1024.05,11.16,143342,-142607,26792,1998,817,392,
617,27.9,29.8,1023.98,11.73,143342,-143338,36964,1998,856,408,
670,27.9,29.7,1023.82,13.11,143342,-133511,58515,1998,1195,313,
686,27.9,29.8,1023.72,13.95,143342,-131215,50133,1998,1242,248,
705,27.9,29.6,1023.62,14.78,143342,-136071,40241,1998,1254,209,
724,27.9,29.8,1023.54,15.50,143342,-142450,32379,1998,1251,197,
743,27.9,29.7,1023.45,16.27,143342,-143342,32738,1998,1308,166,
763,27.9,29.7,1023.37,16.99,143342,-143342,34046,1998,1272,149,
782,27.9,29.7,1023.28,17.71,143342,-143342,39431,1998,1267,130,
801,27.9,29.7,1023.19,18.47,143342,-143342,51747,1998,1332,111,
820,27.9,29.7,1023.10,19.27,143342,-143342,67611,1998,1474,136,
839,27.9,29.7,1022.99,20.24,143342,-143342,75858,1998,1539,50,
858,27.9,29.8,1022.87,21.26,143342,-143342,77306,1998,1694,136,
877,27.9,29.7,1022.75,22.29,143342,-143342,66893,1998,1686,138,
896,27.9,29.8,1022.63,23.36,143342,-143342,53523,1998,1674,134,
915,27.9,29.8,1022.48,24.64,143342,-143342,41720,1998,1680,138,
936,27.9,29.8,1022.36,25.69,143342,-143342,34072,1998,1654,84,
955,27.9,29.8,1022.24,26.70,143342,-143342,33993,1998,1692,17,
974,27.9,29.7,1022.10,27.89,143342,-143342,38850,1998,1836,92,
994,27.9,29.8,1021.96,29.06,143342,-143342,37563,1998,1862,57,
1014,27.9,29.8,1021.84,30.09,143342,-143342,35673,1998,1874,91,
1034,27.9,29.7,1021.73,31.06,143342,-143342,32808,1998,1841,-3,
1054,27.9,29.8,1021.62,32.01,143342,-143342,36833,1998,1858,26,
1074,27.9,29.8,1021.50,33.03,143342,-143342,41501,1998,1923,23,
1094,27.9,29.8,1021.38,34.06,143342,-143342,42949,1998,1957,69,
1113,27.9,29.7,1021.28,34.92,143342,-143342,39309,1998,1922,-10,
1134,27.9,29.7,1021.15,36.09,143342,-143342,33901,1998,1978,77,
1153,27.9,29.7,1021.03,37.10,143342,-143342,25939,1998,1961,84,
1173,27.9,29.7,1020.92,38.05,143342,-143342,20912,1998,1935,23,
1193,27.9,29.7,1020.77,39.38,143342,-143342,25777,1998,1974,60,
1213,27.9,29.7,1020.58,41.02,143342,-143342,31084,1998,1997,105,
1233,27.9,29.8,1020.39,42.61,143342,-143342,22592,1998,1998,188,
1253,27.9,29.8,1020.22,44.12,143342,-143342,328,1998,1998,198,
1273,27.9,29.9,1020.08,45.34,143342,-143342,-20103,1998,1998,198,
1293,27.9,29.8,1019.94,46.53,143342,-143342,-31915,1998,1998,173,
1313,28.0,29.8,1019.81,47.63,143342,-143342,-33670,1998,1998,220,
1332,28.0,29.8,1019.68,48.74,143342,-143342,-30751,1998,1998,187,
1353,28.0,29.8,1019.56,49.76,143342,-143342,-25567,1998,1998,199,
1372,28.0,29.7,1019.45,50.74,143342,-143342,-25226,1998,1998,208,
1393,28.0,29.8,1019.32,51.91,143342,-143342,-32016,1998,1998,175,
1414,28.0,29.7,1019.22,52.73,143342,-143342,-40915,1998,1998,124,
1433,28.0,29.6,1019.13,53.56,143342,-143342,-39873,1998,1998,207,
1452,28.0,29.7,1019.04,54.31,143342,-143342,-38158,1998,1998,222,
1472,28.0,29.8,1018.95,55.07,143342,-143342,-45237,1998,1998,313,
1492,28.0,29.7,1018.84,56.04,143342,-143342,-54088,1998,1998,316,
1512,28.0,29.8,1018.74,56.93,143342,-143342,-61621,1998,1998,292,
1532,28.0,29.9,1018.63,57.86,143342,-143342,-68722,1998,1998,439,
1552,28.0,29.8,1018.58,58.30,143342,-143342,-77686,1994,1998,407,
1572,28.0,29.9,1018.55,58.51,143342,-143342,-81558,1998,1998,623,
1592,28.0,29.8,1018.51,58.91,143342,-143342,-85570,1998,1998,777,
1611,28.0,29.8,1018.44,59.52,143342,-143342,-98266,1998,1998,914,
1631,28.0,29.7,1018.38,60.04,143342,-143342,-118221,1997,1998,947,
1651,28.0,29.8,1018.36,60.17,143342,-143342,-130926,1998,1998,937,
1671,28.0,29.8,1018.36,60.19,143342,-142848,-135056,1998,1996,928,
1691,28.0,29.7,1018.37,60.13,143342,-137392,-129036,1998,1984,786,
1711,28.0,29.7,1018.35,60.30,143342,-130742,-116830,1998,1970,864,
1731,28.0,29.8,1018.33,60.46,143342,-124241,-100008,1998,1830,874,
1751,28.0,29.8,1018.29,60.77,143342,-110079,-77910,1998,1883,789,
1771,28.0,29.8,1018.26,61.04,143342,-101355,-63275,1998,1941,641,
1791,28.0,29.7,1018.21,61.48,143342,-103687,-52386,1997,1942,502,
1811,28.0,29.7,1018.14,62.13,143342,-115478,-37747,1997,1964,304,
1830,28.0,29.8,1018.05,62.90,143342,-134548,-24815,1993,1971,108,
1851,28.0,29.7,1017.91,64.09,143342,-143154,2751,1998,1989,-15,
1871,28.0,29.8,1017.72,65.70,143342,-143342,38478,1998,1998,-326,
1891,28.0,29.7,1017.54,67.24,143342,-143342,40324,1998,1998,-394,
1945,28.0,29.8,1017.18,70.38,143342,-143342,42949,1998,1998,-391,
1950,28.0,29.8,1016.97,72.20,143342,-143342,44721,1998,1998,-404,
1970,28.0,29.8,1016.76,74.08,143342,-143342,42179,1912,1998,-576,
1990,28.0,29.8,1016.53,76.07,143342,-143342,47560,842,1998,-746,
2010,28.0,29.7,1016.27,78.31,143342,-143342,49306,-368,1998,-930,
2030,28.0,29.7,1016.02,80.44,143342,-143342,52381,-921,1998,-993,
2050,28.0,29.8,1015.81,82.31,143342,-143342,50509,-1249,1998,-837,
2070,28.0,29.8,1015.58,84.24,143342,-143342,37878,-1361,1998,-709,
2089,28.0,29.7,1015.39,85.95,143342,-143342,19534,-1362,1998,-517,
2109,28.0,29.7,1015.18,87.71,143342,-143342,-24053,-1452,1998,-495,
2129,28.0,29.8,1015.05,88.88,143342,-143342,-47341,-1414,1998,-287,
2149,28.0,29.7,1014.89,90.25,143342,-143342,-54578,-1356,1998,-61,
2169,28.0,29.8,1014.73,91.66,143342,-143342,-65441,-1261,1998,-73,
2189,28.0,29.7,1014.60,92.77,143342,-143342,-82617,-1286,1998,-66,
2209,28.0,29.7,1014.51,93.56,143342,-143342,-102720,-1360,1998,-165,
2229,28.0,29.8,1014.44,94.22,143342,-143342,-107633,-1329,1998,-20,
2249,28.0,29.7,1014.30,95.38,143342,-143342,-99023,-1263,1998,76,
2269,28.0,29.9,1014.18,96.48,143342,-143342,-94237,-1214,1998,16,
2289,28.0,29.7,1014.06,97.45,143342,-143342,-98507,-1186,1998,47,
2308,28.0,29.8,1013.97,98.25,143342,-143342,-105192,-1205,1998,-3,
2329,28.0,29.7,1013.92,98.68,143342,-143342,-111260,-1177,1998,110,
2350,28.0,29.8,1013.87,99.16,143342,-143342,-111422,-1115,1998,219,
2369,28.0,29.8,1013.81,99.68,143342,-143342,-111925,-1049,1998,327,
2388,28.0,29.8,1013.73,100.37,143342,-143342,-116996,-1030,1998,451,
2408,28.0,29.7,1013.68,100.76,143342,-143342,-132356,-1034,1998,433,
2428,28.0,29.8,1013.70,100.61,143342,-143342,-142183,-1030,1998,542,
2448,28.0,29.7,1013.74,100.31,143342,-143342,-143320,-1004,1996,712,
2468,28.0,29.7,1013.81,99.68,143342,-143276,-143342,-936,1892,916,
2488,28.0,29.8,1013.89,98.97,143342,-128362,-143342,-843,1545,1056,
2507,28.0,29.8,1014.00,98.05,143342,-69396,-143342,-776,944,1142,
2527,28.0,29.8,1014.06,97.53,136705,4095,-143342,-673,505,1138,
2547,28.0,29.7,1014.12,96.99,32637,81620,-143342,-592,-238,840,
2567,28.0,29.8,1014.14,96.78,-103110,135515,-143224,-524,-626,610,
2587,28.0,29.8,1014.12,96.97,-143342,143342,-125488,-518,-499,204,
2607,28.0,29.7,1014.17,96.56,-143342,143342,-67738,-571,-338,-394,
2627,28.0,29.8,1014.22,96.07,-143342,115727,10670,-698,-298,-678,
2647,28.0,29.7,1014.23,96.01,-143342,-2244,61875,-763,49,-591,
2667,28.0,29.7,1014.20,96.28,-143342,-113085,46961,-778,338,-455,
2686,28.0,29.6,1014.16,96.60,-143342,-143145,-14713,-722,355,-340,
2707,28.0,29.8,1014.12,97.00,-143342,-143342,-78903,-592,271,-159,
2726,28.0,29.6,1014.07,97.38,-143342,-142467,-116961,-469,82,90,
2746,28.0,29.8,1014.02,97.85,-143342,-117928,-113290,-361,-107,335,
2766,28.0,29.7,1013.97,98.31,-143342,-63568,-89136,-279,-305,507,
2786,28.0,29.7,1013.93,98.65,-143342,-7708,-64995,-251,-376,553,
2807,28.0,29.8,1013.86,99.22,-143342,70988,-19635,-335,-163,266,
2828,28.0,29.7,1013.81,99.67,-143342,73438,-5709,-414,33,-62,
2847,28.0,29.8,1013.78,99.88,-143342,43155,6208,-469,134,-391,
2866,28.0,29.7,1013.76,100.11,-143342,-10981,10876,-499,211,-509,
2886,28.0,29.8,1013.71,100.54,-143342,-67751,-161,-505,271,-493,
2905,28.0,29.7,1013.66,100.97,-143342,-107725,-29413,-462,228,-386,
2925,28.0,29.8,1013.62,101.35,-143342,-121699,-63306,-392,134,-223,
2945,28.0,29.8,1013.57,101.74,-143342,-110363,-83488,-320,-34,-61,
2965,28.0,29.7,1013.53,102.11,-143342,-84035,-85500,-258,-100,45,
2985,28.0,29.8,1013.48,102.56,-143342,-54368,-79458,-246,-135,60,
3005,28.0,29.7,1013.41,103.11,-143342,-32908,-76938,-239,-120,-3,
3025,28.0,29.7,1013.35,103.70,-143342,-20689,-76811,-237,-1,-242,
3045,28.0,29.7,1013.31,103.97,-143342,-24718,-77126,-281,142,-540,
3065,28.0,29.8,1013.29,104.17,-143342,-52364,-74217,-345,88,-702,
3085,28.0,29.8,1013.26,104.47,-143342,-93511,-75810,-386,114,-644,
3105,28.0,29.8,1013.22,104.81,-143342,-126459,-93681,-386,118,-547,
3124,28.0,29.7,1013.18,105.18,-143342,-140385,-119997,-361,118,-440,
3144,28.0,29.7,1013.12,105.68,-143342,-136635,-140271,-312,85,-365,
3198,28.1,29.8,1012.96,107.05,-143342,-73154,-143342,-186,-25,-513,
3208,28.1,29.8,1012.91,107.53,-143342,-67943,-143342,-208,-85,-566,
3227,28.1,29.8,1012.86,107.95,-143342,-79690,-141216,-250,-163,-570,
3246,28.1,29.8,1012.80,108.42,-143342,-102624,-132111,-299,-173,-498,
3266,28.1,29.8,1012.77,108.75,-143342,-127448,-126336,-337,-177,-443,
3284,28.1,29.8,1012.71,109.20,-143342,-141811,-126175,-356,-135,-355,
3305,28.1,29.8,1012.67,109.63,-143342,-143342,-131040,-355,-135,-289,
3325,28.1,29.8,1012.61,110.09,-143342,-143342,-138280,-334,-142,-247,
3343,28.1,29.8,1012.55,110.61,-143342,-143329,-142331,-304,-146,-231,
3363,28.1,29.7,1012.48,111.23,-143342,-140651,-143119,-264,-208,-270,
3383,28.1,29.8,1012.41,111.87,-143342,-130243,-143185,-245,-265,-298,
3403,28.1,29.7,1012.35,112.42,-143342,-125063,-140765,-239,-314,-322,
3423,28.1,29.8,1012.30,112.82,-143342,-126573,-131761,-251,-317,-309,
3443,28.1,29.7,1012.26,113.17,-143342,-132553,-123471,-273,-299,-319,
3463,28.1,29.7,1012.22,113.52,-143342,-140953,-119568,-292,-272,-305,
3483,28.1,29.9,1012.18,113.88,-143342,-143311,-119896,-309,-277,-286,
